"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: implName","Param: numberOfAccounts"
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.alloc.rate","thrpt",40,6,"903,831588","1341,975356","MB/sec",SmallLock,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.alloc.rate.norm","thrpt",40,6,"110,300583","13,811445","B/op",SmallLock,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Eden_Space","thrpt",40,6,"916,133561","2060,134861","MB/sec",SmallLock,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Eden_Space.norm","thrpt",40,6,"128,172209","222,413216","B/op",SmallLock,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Survivor_Space","thrpt",40,6,"4,021788","27,624965","MB/sec",SmallLock,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Survivor_Space.norm","thrpt",40,6,"3,289557","22,595398","B/op",SmallLock,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.count","thrpt",40,6,"6,000000",NaN,"counts",SmallLock,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.time","thrpt",40,6,"8719,000000",NaN,"ms",SmallLock,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",40,6,"7652238,286772","9471050,077800","ops/s",SmallLock,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",40,6,"6068014,519050","7521480,549726","ops/s",SmallLock,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",40,6,"480844,888013","595303,738352","ops/s",SmallLock,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",40,6,"592587,763701","735805,889115","ops/s",SmallLock,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",40,6,"28840,437548","35891,028161","ops/s",SmallLock,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",40,6,"481950,678461","598261,497647","ops/s",SmallLock,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.alloc.rate","thrpt",40,6,"999,060289","1236,716803","MB/sec",SmallLock,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.alloc.rate.norm","thrpt",40,6,"138,166882","16,209772","B/op",SmallLock,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Eden_Space","thrpt",40,6,"962,016269","1225,035458","MB/sec",SmallLock,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Eden_Space.norm","thrpt",40,6,"134,526823","49,405564","B/op",SmallLock,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Survivor_Space","thrpt",40,6,"3,554653","24,416292","MB/sec",SmallLock,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Survivor_Space.norm","thrpt",40,6,"3,802099","26,115956","B/op",SmallLock,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.count","thrpt",40,6,"7,000000",NaN,"counts",SmallLock,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.time","thrpt",40,6,"9339,000000",NaN,"ms",SmallLock,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",40,6,"7373720,002931","18105037,973393","ops/s",SmallLock,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",40,6,"5299588,657545","13786294,633589","ops/s",SmallLock,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",40,6,"513643,191995","997465,328276","ops/s",SmallLock,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",40,6,"1007238,152515","2408975,916371","ops/s",SmallLock,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",40,6,"42096,976700","82651,039544","ops/s",SmallLock,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",40,6,"511153,024176","1006745,339581","ops/s",SmallLock,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.alloc.rate","thrpt",40,6,"1126,707058","2061,166953","MB/sec",SmallLock,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.alloc.rate.norm","thrpt",40,6,"172,878086","124,045918","B/op",SmallLock,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Eden_Space","thrpt",40,6,"1142,450069","2177,151649","MB/sec",SmallLock,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Eden_Space.norm","thrpt",40,6,"173,770848","124,054858","B/op",SmallLock,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Survivor_Space","thrpt",40,6,"15,564703","52,055220","MB/sec",SmallLock,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Survivor_Space.norm","thrpt",40,6,"8,667856","34,231094","B/op",SmallLock,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.count","thrpt",40,6,"10,000000",NaN,"counts",SmallLock,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.time","thrpt",40,6,"13204,000000",NaN,"ms",SmallLock,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",40,6,"4758840,060188","1186835,265013","ops/s",Cas,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",40,6,"2615447,262860","1280820,441190","ops/s",Cas,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",40,6,"52589,531973","50620,576458","ops/s",Cas,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",40,6,"2047386,173202","429187,296665","ops/s",Cas,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",40,6,"1646,074042","4216,487610","ops/s",Cas,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",40,6,"41771,018110","38385,935322","ops/s",Cas,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.alloc.rate","thrpt",40,6,"2844,471540","33,110182","MB/sec",Cas,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.alloc.rate.norm","thrpt",40,6,"656,575291","90,911976","B/op",Cas,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Eden_Space","thrpt",40,6,"2879,259937","553,312008","MB/sec",Cas,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Eden_Space.norm","thrpt",40,6,"664,998181","173,721176","B/op",Cas,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Survivor_Space","thrpt",40,6,"0,424227","0,394639","MB/sec",Cas,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Survivor_Space.norm","thrpt",40,6,"0,097476","0,087658","B/op",Cas,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.count","thrpt",40,6,"30,000000",NaN,"counts",Cas,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.time","thrpt",40,6,"691,000000",NaN,"ms",Cas,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",40,6,"4700519,306812","588888,033616","ops/s",Cas,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",40,6,"2305700,255984","348060,892014","ops/s",Cas,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",40,6,"61218,159940","21100,541327","ops/s",Cas,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",40,6,"2268566,642672","405804,097103","ops/s",Cas,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",40,6,"3173,463181","2790,941080","ops/s",Cas,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",40,6,"61860,785034","20508,991654","ops/s",Cas,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.alloc.rate","thrpt",40,6,"4105,085441","1223,663527","MB/sec",Cas,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.alloc.rate.norm","thrpt",40,6,"965,646962","104,026466","B/op",Cas,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Eden_Space","thrpt",40,6,"4120,073016","1686,375497","MB/sec",Cas,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Eden_Space.norm","thrpt",40,6,"965,250476","151,934425","B/op",Cas,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Survivor_Space","thrpt",40,6,"0,337657","0,339163","MB/sec",Cas,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Survivor_Space.norm","thrpt",40,6,"0,078782","0,069122","B/op",Cas,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.count","thrpt",40,6,"33,000000",NaN,"counts",Cas,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.time","thrpt",40,6,"599,000000",NaN,"ms",Cas,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",40,6,"4607849,706208","195133,914029","ops/s",Cas,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",40,6,"2295478,941499","264805,124367","ops/s",Cas,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",40,6,"64862,427064","10683,101054","ops/s",Cas,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",40,6,"2175379,787837","188258,371060","ops/s",Cas,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",40,6,"11937,345086","26446,820406","ops/s",Cas,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",40,6,"60191,204723","17282,911041","ops/s",Cas,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.alloc.rate","thrpt",40,6,"3974,652406","136,973353","MB/sec",Cas,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.alloc.rate.norm","thrpt",40,6,"936,097875","55,781598","B/op",Cas,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Eden_Space","thrpt",40,6,"4098,927572","507,936377","MB/sec",Cas,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Eden_Space.norm","thrpt",40,6,"965,110544","108,311235","B/op",Cas,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Survivor_Space","thrpt",40,6,"0,793364","0,975537","MB/sec",Cas,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Survivor_Space.norm","thrpt",40,6,"0,187142","0,231208","B/op",Cas,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.count","thrpt",40,6,"40,000000",NaN,"counts",Cas,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.time","thrpt",40,6,"781,000000",NaN,"ms",Cas,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",40,6,"920421,462779","275556,057573","ops/s",Accumulator,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",40,6,"73660,741881","57357,266878","ops/s",Accumulator,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",40,6,"309433,604841","152082,358376","ops/s",Accumulator,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",40,6,"43977,001367","31892,553954","ops/s",Accumulator,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",40,6,"199590,971120","92208,537263","ops/s",Accumulator,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",40,6,"293759,143570","137889,749839","ops/s",Accumulator,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.alloc.rate","thrpt",40,6,"1448,515058","2484,800738","MB/sec",Accumulator,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.alloc.rate.norm","thrpt",40,6,"2605,251991","117,388545","B/op",Accumulator,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Eden_Space","thrpt",40,6,"1465,568941","2517,440875","MB/sec",Accumulator,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Eden_Space.norm","thrpt",40,6,"2634,151770","106,775038","B/op",Accumulator,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Survivor_Space","thrpt",40,6,"30,582256","61,829656","MB/sec",Accumulator,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Survivor_Space.norm","thrpt",40,6,"67,241735","113,372112","B/op",Accumulator,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.count","thrpt",40,6,"40,000000",NaN,"counts",Accumulator,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.time","thrpt",40,6,"41414,000000",NaN,"ms",Accumulator,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",40,6,"694248,487564","358141,813549","ops/s",Accumulator,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",40,6,"70119,493456","41369,039346","ops/s",Accumulator,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",40,6,"252009,075238","229769,756927","ops/s",Accumulator,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",40,6,"45443,902667","23573,861919","ops/s",Accumulator,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",40,6,"106879,814995","66680,492134","ops/s",Accumulator,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",40,6,"219796,201208","124197,207780","ops/s",Accumulator,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.alloc.rate","thrpt",40,6,"1154,769206","1517,975176","MB/sec",Accumulator,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.alloc.rate.norm","thrpt",40,6,"2721,495781","379,608658","B/op",Accumulator,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Eden_Space","thrpt",40,6,"1214,016853","1832,847407","MB/sec",Accumulator,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Eden_Space.norm","thrpt",40,6,"2796,741357","1233,317854","B/op",Accumulator,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Survivor_Space","thrpt",40,6,"24,745166","83,186511","MB/sec",Accumulator,32
