"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: implName","Param: numberOfAccounts"
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.alloc.rate","thrpt",40,6,"828,379942","1395,290653","MB/sec",SmallLock,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.alloc.rate.norm","thrpt",40,6,"71,340208","100,104644","B/op",SmallLock,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Eden_Space","thrpt",40,6,"551,858505","1488,075615","MB/sec",SmallLock,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Eden_Space.norm","thrpt",40,6,"103,414988","336,167017","B/op",SmallLock,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Survivor_Space","thrpt",40,6,"1,506261","10,346244","MB/sec",SmallLock,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Survivor_Space.norm","thrpt",40,6,"2,043498","14,036435","B/op",SmallLock,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.count","thrpt",40,6,"5,000000",NaN,"counts",SmallLock,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.time","thrpt",40,6,"7959,000000",NaN,"ms",SmallLock,10
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",40,6,"5633925,196913","10771599,546854","ops/s",SmallLock,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",40,6,"4406522,961860","8244215,321021","ops/s",SmallLock,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",40,6,"372366,491253","783964,629382","ops/s",SmallLock,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:getEntries","thrpt",40,6,"457566,616231","918637,095344","ops/s",SmallLock,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:transfer","thrpt",40,6,"22340,472389","46252,121244","ops/s",SmallLock,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:withdraw","thrpt",40,6,"375128,655180","790316,808597","ops/s",SmallLock,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.alloc.rate","thrpt",40,6,"794,742819","1666,470155","MB/sec",SmallLock,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.alloc.rate.norm","thrpt",40,6,"138,530952","83,929265","B/op",SmallLock,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Eden_Space","thrpt",40,6,"796,760712","1557,966333","MB/sec",SmallLock,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Eden_Space.norm","thrpt",40,6,"143,975197","82,263012","B/op",SmallLock,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Survivor_Space","thrpt",40,6,"4,903550","22,295127","MB/sec",SmallLock,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.churn.PS_Survivor_Space.norm","thrpt",40,6,"7,050407","41,664296","B/op",SmallLock,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.count","thrpt",40,6,"8,000000",NaN,"counts",SmallLock,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:·gc.time","thrpt",40,6,"20556,000000",NaN,"ms",SmallLock,32
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed","thrpt",40,6,"5915377,974708","13263215,758268","ops/s",SmallLock,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:balance","thrpt",40,6,"4201688,335628","9817642,159131","ops/s",SmallLock,100
"de.hs_augsburg.nlp.two.BasicMonitor.BenchBank.mixed:deposit","thrpt",40,6,"461705,945029","1083525,177335","ops/s",SmallLock,100
